591,City University of NY - John Jay College Criminal Justice
592,City University of NY - Lehman College
593,City University of NY - Medgar Evers College
594,City University of NY - NYC College of Technology
595,City University of NY - Queens College
596,City University of NY - Queensborough Community College
597,City University of NY - York College
598,Daemen College
599,Dowling College
600,Fashion Institute of Technology
601,Fordham University
602,Hamilton College (NY)
603,Hartwick College
604,Hobart and William Smith Colleges
605,Hofstra University
606,Houghton College
607,Iona College
608,Ithaca College
609,Long Island University (Multiple campuses)
610,Manhattan College
611,Marist College
612,Mercy College (NY)
613,Icahn School of Medicine at Mount Sinai
614,New School
615,New York Chiropractic College
616,New York Law School
617,New York Medical College
618,New York University
619,Niagara University
620,New York Institute of Technology (Multiple campuses)
621,Pace University (Multiple campuses)
622,Polytechnic Institute of New York University
623,Pratt Institute - Brooklyn
624,Rensselaer Polytechnic Institute
625,Rochester Institute of Technology
626,University of Rochester
627,Rockefeller University
628,Russell Sage Colleges
629,St. Bonaventure University
630,St. Lawrence University
631,Sarah Lawrence College
632,Siena College
633,Skidmore College
634,St. John's University (NY)
635,State Univ. of New York - System Office
636,State Univ. of New York - College of Technology at Canton
637,State Univ. of New York - College of Technology at Delhi
638,State Univ. of New York - Coll of Agric and Techn at Cobleskill
639,Farmingdale State College
640,State Univ. of New York - Morrisville
641,University at Albany
642,Binghamton University
643,University at Buffalo
644,Stony Brook University
645,State Univ. of New York - Coll of Enviro Sci and Forestry
646,State Univ. of New York - Polytechnic Institute
647,State Univ. of New York - College at Brockport
648,State Univ. of New York - Buffalo State
649,State Univ. of New York - Cortland
650,State Univ. of New York - Fredonia
651,State Univ. of New York - College at Geneseo
652,State Univ. of New York - New Paltz
653,State Univ. of New York - Oneonta
654,State Univ. of New York - College at Oswego
655,State Univ. of New York - College at Potsdam
656,State Univ. of New York - Purchase College
657,State Univ. of New York - College of Optometry
658,State Univ. of New York - College at Old Westbury
659,State Univ. of New York - College at Plattsburgh
660,State Univ. of New York - Downstate Medical Center
661,State Univ. of New York - Maritime College
662,State Univ. of New York - Upstate Medical University
663,Syracuse University
664,Teachers College at Columbia University
665,Touro College
666,Union College (NY)
667,U.S. Military Academy
668,Utica College
669,Vassar College
670,Webb Institute
671,Yeshiva University
672,Appalachian State University
673,Bennett College
674,Davidson College
675,Duke University
676,East Carolina University
677,Elizabeth City State University
678,Elon University
679,Fayetteville State University
680,Johnson C. Smith University
681,North Carolina A&T State University
682,University of North Carolina - Asheville
683,University of North Carolina - Chapel Hill
684,University of North Carolina - Charlotte
685,University of North Carolina - Greensboro
686,North Carolina Central University
687,University of North Carolina - System
688,North Carolina State University
689,University of North Carolina - Wilmington
690,University of North Carolina - Pembroke
691,Shaw University
692,St. Andrews University
693,Wake Forest University
694,Winston-Salem State University
695,Western Carolina University
696,Dickinson State University
697,Mayville State University
698,Minot State University
699,University of North Dakota
700,North Dakota State University
701,Sitting Bull College
702,Turtle Mountain Community College
703,Valley City State University
704,Air Force Institute of Technology
705,University of Akron - Akron
706,Ashland University
707,Baldwin Wallace University
708,Bowling Green State University - Bowling Green
709,Case Western Reserve University
710,Central State University
711,University of Cincinnati - Cincinnati
712,Cleveland State University
713,University of Dayton
714,Denison University
715,University of Findlay
716,Heidelberg University
717,John Carroll University
718,Kent State University - Kent
719,Kenyon College
720,Marietta College
721,Medical College of Ohio
722,Miami University - Oxford
723,Muskingum University
724,Notre Dame College
725,Northeast Ohio Medical University
726,Oberlin College
727,Ohio Dominican University
728,Ohio Northern University
729,Ohio State University - Columbus
730,Ohio University - Athens
731,Ohio Wesleyan University
732,University of Toledo
733,Union Institute & University
734,Wilberforce University
735,Wittenberg University
736,College of Wooster
737,Wright State University - Dayton
738,Xavier University (OH)
739,Youngstown State University
740,University of Central Oklahoma
741,East Central University
742,Langston University
743,Northeastern State University
744,Oklahoma State University Center for Health Sciences
745,University of Oklahoma - Health Sciences Center
746,Oklahoma Panhandle State University
747,Oklahoma State University - Stillwater
748,Oklahoma City University
749,University of Oklahoma - Norman
750,Oral Roberts University
751,Southeastern Oklahoma State University
752,Southwestern Oklahoma State University
753,University of Tulsa
754,Eastern Oregon University
755,Lewis & Clark College
756,Linfield College - McMinnville
757,National University of Natural Medicine
